open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1.67301E+12,12.959,13.078,12.89,12.988,3496522,1.67302E+12,45362300.53,60619,1840260,23874481.65,0
1.67302E+12,12.989,13.189,12.989,13.173,4207312,1.67302E+12,55185877.5,71125,2168094,28438462.94,0
1.67302E+12,13.173,13.3,13.045,13.184,3669727,1.67302E+12,48241024.19,61832,1837289,24163146.08,0
1.67302E+12,13.184,13.232,13.113,13.187,1667739,1.67303E+12,21961891.27,30445,853499,11238788.84,0
1.67303E+12,13.186,13.419,13.184,13.309,3516742,1.67303E+12,46858308.85,57330,1865940,24864896.88,0
1.67303E+12,13.31,13.4,13.263,13.353,1955839,1.67304E+12,26075050.79,33524,1010812,13476950.32,0
1.67304E+12,13.355,13.385,13.149,13.219,2774301,1.67304E+12,36754660.94,45154,1354801,17950325.7,0
1.67304E+12,13.22,13.3,13.197,13.246,1000588,1.67304E+12,13257511.63,19051,536090,7103640.991,0
1.67304E+12,13.245,13.38,13.224,13.36,773544,1.67305E+12,10291635.15,16547,433200,5764916.002,0
1.67305E+12,13.36,13.585,13.324,13.483,2384916,1.67305E+12,32091107.78,43899,1330683,17906905.85,0
1.67305E+12,13.484,13.49,13.317,13.441,1731873,1.67305E+12,23191584.62,31473,893323,11964301.57,0
1.67305E+12,13.442,13.472,13.274,13.298,1342104,1.67306E+12,17910483.6,23697,620042,8275557.737,0
1.67306E+12,13.298,13.409,13.263,13.304,1112005,1.67306E+12,14817490.31,21204,561964,7489290.223,0
1.67306E+12,13.303,13.34,13.265,13.315,571692,1.67306E+12,7600358.363,11199,275628,3664672.277,0
1.67306E+12,13.315,13.316,13.22,13.224,792782,1.67307E+12,10508028.05,14425,341842,4531484.952,0
1.67307E+12,13.224,13.318,13.192,13.302,922614,1.67307E+12,12238145.33,17803,542001,7190241.737,0
1.67307E+12,13.301,13.325,13.217,13.234,745880,1.67307E+12,9888489.207,15036,353418,4685173.587,0
1.67307E+12,13.235,13.309,13.203,13.288,694776,1.67308E+12,9216033.223,13827,351437,4662837.034,0
1.67308E+12,13.288,13.315,13.12,13.153,1466180,1.67308E+12,19356172.13,25769,687252,9073851.87,0
1.67308E+12,13.153,13.222,13.12,13.192,877869,1.67309E+12,11564153.31,15768,476585,6278636.612,0
1.67309E+12,13.192,13.22,13.123,13.163,680457,1.67309E+12,8966719.567,13094,316301,4169471.111,0
1.67309E+12,13.162,13.195,13.12,13.137,617391,1.67309E+12,8121259.351,12967,321233,4226631.231,0
1.67309E+12,13.138,13.209,13.125,13.168,640141,1.6731E+12,8433102.202,12255,368828,4859497.958,0
1.6731E+12,13.167,13.27,13.166,13.191,1033008,1.6731E+12,13662272.38,20265,550215,7277271.836,0
1.6731E+12,13.19,13.242,13.145,13.24,1121097,1.6731E+12,14786791.42,19201,548798,7239873.693,0
1.6731E+12,13.24,13.273,13.208,13.257,745948,1.67311E+12,9874656.362,13722,402303,5326510.566,0
1.67311E+12,13.256,13.267,13.164,13.193,759439,1.67311E+12,10037476.81,14528,404964,5353399.864,0
